id,user_id,username,action,target_table,record_id,details,ip_address,created_at
777,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-03-18 01:51:36"
778,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-03-18 02:33:06"
779,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 03:20:32"
781,1,Darius,UPDATE,calibration_report,3181,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-03-18 | Next: 2027-03-18",SDP-DP-115,"2026-03-18 03:41:12"
785,1,Darius,UPDATE,calibration_report,3181,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-03-18 03:43:27"
786,1,Darius,UPDATE,calibration_report,3181,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-03-18 | Next: 2027-03-18",SDP-DP-115,"2026-03-18 03:43:33"
788,1,Darius,UPDATE,calibration_report,3181,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-03-18 03:43:40"
789,1,Darius,UPDATE,calibration_report,3181,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-03-18 | Next: 2027-03-18",SDP-DP-115,"2026-03-18 03:49:56"
791,1,Darius,UPDATE,calibration_report,3181,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-03-18 03:50:04"
793,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-18 03:52:33"
794,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 03:52:40"
795,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-18 03:54:53"
796,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 03:55:13"
797,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-18 04:04:42"
798,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 04:05:38"
800,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-18 04:21:50"
801,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 04:22:22"
802,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-18 04:38:03"
803,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 04:38:09"
804,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-18 04:39:27"
805,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 04:40:35"
806,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-18 04:45:39"
807,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 04:45:50"
808,1,Darius,UPDATE,calibration_report,3181,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-03-18 | Next: 2027-03-18",SDP-DP-115,"2026-03-18 05:23:51"
810,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-03-18 05:26:16"
811,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 06:41:59"
813,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-03-18 07:19:35"
814,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-03-18 08:00:21"
815,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-18 23:12:52"
816,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-18 23:13:02"
819,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-19 00:20:06"
820,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-03-19 00:20:12"
821,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-19 00:20:18"
822,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 00:20:26"
826,1,Darius,EDIT,inspection_report,329,"Edited 22222222: Result: ""For Disposal"" → ""Good""",SDP-DP-115,"2026-03-19 00:45:11"
832,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-03-19 02:51:06"
833,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 03:10:48"
835,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-03-19 03:21:06"
836,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 03:21:19"
864,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-19 04:04:26"
865,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 04:04:32"
867,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-19 04:12:57"
868,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-03-19 04:12:59"
869,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-19 04:13:01"
870,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 04:14:06"
873,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-19 04:15:29"
874,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-03-19 04:15:31"
875,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-19 04:15:33"
876,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 04:15:39"
877,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-19 04:16:07"
878,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 04:16:12"
901,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-03-19 04:41:50"
902,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-03-19 04:47:52"
903,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 05:40:34"
904,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-03-19 06:25:03"
905,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 06:31:59"
906,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-03-19 07:03:03"
907,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 07:32:25"
908,1,Darius,UPDATE,calibration_report,3163,"Marked done: X-ray Spectrometer | Code: XRAY.07 | Cal Date: 2026-03-19 | Next: 2027-03-19",SDP-DP-115,"2026-03-19 07:56:54"
911,1,Darius,INSERT,standard_samples,148,"Added: zzzzztesttttt | Code: zz | Calibrator: SDP | Status: Good",SDP-DP-115,"2026-03-19 07:57:30"
912,1,Darius,UPDATE,standard_samples,148,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-03-19 | Next: 2027-03-19",SDP-DP-115,"2026-03-19 07:57:39"
914,1,Darius,UPDATE,calibration_report,3163,"Updated: X-ray Spectrometer | Code: XRAY.07 | Status: Good",SDP-DP-115,"2026-03-19 07:58:44"
915,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-03-19 08:01:54"
916,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 23:40:02"
917,1,Darius,UPDATE,calibration_report,2765,"Marked done: Diode Tester Lite | Code: DTLT.01 | Cal Date: 2026-03-19 | Next: 2027-03-19",SDP-DP-115,"2026-03-19 23:43:11"
921,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-03-19 23:57:20"
922,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-19 23:57:55"
927,1,Darius,DELETE,inspection_report,329,"Deleted inspection: 22222222 — ZZZZZZZZZZZThermohygrometer",SDP-DP-115,"2026-03-20 00:01:03"
942,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-20 00:46:05"
943,2,DuNavarro,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-20 00:46:15"
950,2,DuNavarro,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-20 01:12:24"
951,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-03-20 01:12:25"
952,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-03-20 01:12:41"
953,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-20 01:13:07"
977,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-03-20 02:23:03"
978,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-20 03:04:21"
1003,1,Darius,UPDATE,calibration_report,3181,"Updated: zzzzztesttttt | Code: zz | Status: Good",SDP-DP-115,"2026-03-20 05:09:44"
1004,1,Darius,UPDATE,calibration_report,3181,"Marked done: zzzzztesttttt | Code: zz | Cal Date: 2026-03-20 | Next: 2027-03-20",SDP-DP-115,"2026-03-20 05:09:50"
1006,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-03-20 05:51:03"
1007,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-03-20 06:04:49"
